dataset;method;preprocessing;n_neighbors;subset;score
Iemocap;binary;raw;54;train;0.6049653158086893
Iemocap;binary;raw;55;train;0.608433734939759
Iemocap;binary;raw;56;train;0.6066082511865645
Iemocap;binary;raw;57;train;0.6046002190580504
Iemocap;binary;raw;58;train;0.6022270901788974
Iemocap;binary;raw;59;train;0.6038700255567725
Iemocap;binary;raw;60;train;0.6022270901788974
Iemocap;binary;raw;61;train;0.6067907995618839
Iemocap;binary;raw;62;train;0.6047827674333699
Iemocap;binary;raw;63;train;0.6071558963125229
Iemocap;binary;raw;64;train;0.606425702811245
Iemocap;binary;raw;65;train;0.6027747353048558
Iemocap;binary;raw;66;train;0.6035049288061336
Iemocap;binary;raw;67;train;0.6053304125593282
Iemocap;binary;raw;68;train;0.6024096385542169
Iemocap;binary;raw;69;train;0.6051478641840088
Iemocap;binary;raw;70;train;0.6047827674333699
Iemocap;binary;raw;71;train;0.6056955093099672
Iemocap;binary;raw;72;train;0.6067907995618839
Iemocap;binary;raw;73;train;0.6051478641840088
Iemocap;binary;raw;74;train;0.6024096385542169
